X	Y	V_x	V_y
-3.11858	-0.05044	20.12700	-17.93649
-3.11657	-0.05224	20.12716	-17.93648
-3.11455	-0.05403	20.12731	-17.93648
-3.11254	-0.05583	20.12747	-17.93648
-3.11053	-0.05762	20.12763	-17.93648
-3.10851	-0.05941	20.12778	-17.93647
-3.10650	-0.06121	20.12794	-17.93647
-3.10449	-0.06300	20.12810	-17.93647
-3.10248	-0.06479	20.12825	-17.93646
-3.10046	-0.06659	20.12841	-17.93646
-3.09845	-0.06838	20.12856	-17.93646
-3.09644	-0.07017	20.12872	-17.93645
-3.09442	-0.07197	20.12888	-17.93645
-3.09241	-0.07376	20.12903	-17.93645
-3.09040	-0.07556	20.12919	-17.93644
-3.08839	-0.07735	20.12934	-17.93644
-3.08637	-0.07914	20.12950	-17.93644
-3.08436	-0.08094	20.12966	-17.93643
-3.08235	-0.08273	20.12981	-17.93643
-3.08033	-0.08452	20.12997	-17.93642
-3.07832	-0.08632	20.13012	-17.93642
-3.07631	-0.08811	20.13028	-17.93641
-3.07430	-0.08990	20.13043	-17.93641
-3.07228	-0.09170	20.13059	-17.93641
-3.07027	-0.09349	20.13074	-17.93640
-3.06826	-0.09529	20.13090	-17.93640
-3.06624	-0.09708	20.13105	-17.93639
-3.06423	-0.09887	20.13121	-17.93639
-3.06222	-0.10067	20.13136	-17.93638
-3.06020	-0.10246	20.13151	-17.93638
-3.05819	-0.10425	20.13167	-17.93637
-3.05618	-0.10605	20.13182	-17.93637
-3.05416	-0.10784	20.13198	-17.93636
-3.05215	-0.10963	20.13213	-17.93635
-3.05014	-0.11143	20.13229	-17.93635
-3.04812	-0.11322	20.13244	-17.93634
-3.04611	-0.11502	20.13259	-17.93634
-3.04410	-0.11681	20.13275	-17.93633
-3.04208	-0.11860	20.13290	-17.93633
-3.04007	-0.12040	20.13305	-17.93632
-3.03806	-0.12219	20.13321	-17.93631
-3.03604	-0.12398	20.13336	-17.93631
-3.03403	-0.12578	20.13351	-17.93630
-3.03202	-0.12757	20.13367	-17.93630
-3.03000	-0.12936	20.13382	-17.93629
-3.02799	-0.13116	20.13397	-17.93628
-3.02598	-0.13295	20.13413	-17.93628
-3.02396	-0.13475	20.13428	-17.93627
-3.02195	-0.13654	20.13443	-17.93626
-3.01994	-0.13833	20.13459	-17.93626
-3.01792	-0.14013	20.13474	-17.93625
-3.01591	-0.14192	20.13489	-17.93624
-3.01390	-0.14371	20.13504	-17.93623
-3.01188	-0.14551	20.13520	-17.93623
-3.00987	-0.14730	20.13535	-17.93622
-3.00786	-0.14909	20.13550	-17.93621
-3.00584	-0.15089	20.13565	-17.93620
-3.00383	-0.15268	20.13580	-17.93620
-3.00182	-0.15448	20.13596	-17.93619
-2.99980	-0.15627	20.13611	-17.93618
-2.99779	-0.15806	20.13626	-17.93617
-2.99578	-0.15986	20.13641	-17.93617
-2.99376	-0.16165	20.13656	-17.93616
-2.99175	-0.16344	20.13671	-17.93615
-2.98973	-0.16524	20.13687	-17.93614
-2.98772	-0.16703	20.13702	-17.93613
-2.98571	-0.16882	20.13717	-17.93612
-2.98369	-0.17062	20.13732	-17.93612
-2.98168	-0.17241	20.13747	-17.93611
-2.97967	-0.17421	20.13762	-17.93610
-2.97765	-0.17600	20.13777	-17.93609
-2.97564	-0.17779	20.13792	-17.93608
-2.97362	-0.17959	20.13807	-17.93607
-2.97161	-0.18138	20.13822	-17.93606
-2.96960	-0.18317	20.13838	-17.93605
-2.96758	-0.18497	20.13853	-17.93604
-2.96557	-0.18676	20.13868	-17.93603
-2.96356	-0.18855	20.13883	-17.93602
-2.96154	-0.19035	20.13898	-17.93602
-2.95953	-0.19214	20.13913	-17.93601
-2.95751	-0.19393	20.13928	-17.93600
-2.95550	-0.19573	20.13943	-17.93599
-2.95349	-0.19752	20.13958	-17.93598
-2.95147	-0.19932	20.13973	-17.93597
-2.94946	-0.20111	20.13988	-17.93596
-2.94744	-0.20290	20.14003	-17.93595
-2.94543	-0.20470	20.14018	-17.93594
-2.94342	-0.20649	20.14032	-17.93592
-2.94140	-0.20828	20.14047	-17.93591
-2.93939	-0.21008	20.14062	-17.93590
-2.93737	-0.21187	20.14077	-17.93589
-2.93536	-0.21366	20.14092	-17.93588
-2.93335	-0.21546	20.14107	-17.93587
-2.93133	-0.21725	20.14122	-17.93586
-2.92932	-0.21905	20.14137	-17.93585
-2.92730	-0.22084	20.14152	-17.93584
-2.92529	-0.22263	20.14167	-17.93583
-2.92327	-0.22443	20.14182	-17.93582
-2.92126	-0.22622	20.14196	-17.93580
-2.91925	-0.22801	20.14211	-17.93579
-2.91723	-0.22981	20.14226	-17.93578
-2.91522	-0.23160	20.14241	-17.93577
-2.91320	-0.23339	20.14256	-17.93576
-2.91119	-0.23519	20.14271	-17.93575
-2.90918	-0.23698	20.14285	-17.93573
-2.90716	-0.23877	20.14300	-17.93572
-2.90515	-0.24057	20.14315	-17.93571
-2.90313	-0.24236	20.14330	-17.93570
-2.90112	-0.24416	20.14345	-17.93568
-2.89910	-0.24595	20.14359	-17.93567
-2.89709	-0.24774	20.14374	-17.93566
-2.89507	-0.24954	20.14389	-17.93565
-2.89306	-0.25133	20.14404	-17.93563
-2.89105	-0.25312	20.14418	-17.93562
-2.88903	-0.25492	20.14433	-17.93561
-2.88702	-0.25671	20.14448	-17.93560
-2.88500	-0.25850	20.14463	-17.93558
-2.88299	-0.26030	20.14477	-17.93557
-2.88097	-0.26209	20.14492	-17.93556
-2.87896	-0.26388	20.14507	-17.93554
-2.87694	-0.26568	20.14521	-17.93553
-2.87493	-0.26747	20.14536	-17.93552
-2.87292	-0.26927	20.14551	-17.93550
-2.87090	-0.27106	20.14565	-17.93549
-2.86889	-0.27285	20.14580	-17.93547
-2.86687	-0.27465	20.14595	-17.93546
-2.86486	-0.27644	20.14609	-17.93545
-2.86284	-0.27823	20.14624	-17.93543
-2.86083	-0.28003	20.14639	-17.93542
-2.85881	-0.28182	20.14653	-17.93540
-2.85680	-0.28361	20.14668	-17.93539
-2.85478	-0.28541	20.14682	-17.93537
-2.85277	-0.28720	20.14697	-17.93536
-2.85075	-0.28899	20.14712	-17.93535
-2.84874	-0.29079	20.14726	-17.93533
-2.84673	-0.29258	20.14741	-17.93532
-2.84471	-0.29437	20.14755	-17.93530
-2.84270	-0.29617	20.14770	-17.93529
-2.84068	-0.29796	20.14784	-17.93527
-2.83867	-0.29976	20.14799	-17.93525
-2.83665	-0.30155	20.14813	-17.93524
-2.83464	-0.30334	20.14828	-17.93522
-2.83262	-0.30514	20.14842	-17.93521
-2.83061	-0.30693	20.14857	-17.93519
-2.82859	-0.30872	20.14872	-17.93518
-2.82658	-0.31052	20.14886	-17.93516
-2.82456	-0.31231	20.14901	-17.93514
-2.82255	-0.31410	20.14915	-17.93513
-2.82053	-0.31590	20.14929	-17.93511
-2.81852	-0.31769	20.14944	-17.93510
-2.81650	-0.31948	20.14958	-17.93508
-2.81449	-0.32128	20.14973	-17.93506
-2.81247	-0.32307	20.14987	-17.93505
-2.81046	-0.32486	20.15002	-17.93503
-2.80844	-0.32666	20.15016	-17.93501
-2.80643	-0.32845	20.15031	-17.93500
-2.80441	-0.33025	20.15045	-17.93498
-2.80240	-0.33204	20.15059	-17.93496
-2.80038	-0.33383	20.15074	-17.93495
-2.79837	-0.33563	20.15088	-17.93493
-2.79635	-0.33742	20.15103	-17.93491
-2.79434	-0.33921	20.15117	-17.93489
-2.79232	-0.34101	20.15131	-17.93488
-2.79031	-0.34280	20.15146	-17.93486
-2.78829	-0.34459	20.15160	-17.93484
-2.78628	-0.34639	20.15175	-17.93482
-2.78426	-0.34818	20.15189	-17.93480
-2.78225	-0.34997	20.15203	-17.93479
-2.78023	-0.35177	20.15218	-17.93477
-2.77822	-0.35356	20.15232	-17.93475
-2.77620	-0.35535	20.15246	-17.93473
-2.77419	-0.35715	20.15261	-17.93471
-2.77217	-0.35894	20.15275	-17.93469
-2.77016	-0.36073	20.15289	-17.93468
-2.76814	-0.36253	20.15304	-17.93466
-2.76612	-0.36432	20.15318	-17.93464
-2.76411	-0.36611	20.15332	-17.93462
-2.76209	-0.36791	20.15346	-17.93460
-2.76008	-0.36970	20.15361	-17.93458
-2.75806	-0.37150	20.15375	-17.93456
-2.75605	-0.37329	20.15389	-17.93454
-2.75403	-0.37508	20.15403	-17.93452
